arrest_date,pd_desc,ofns_desc,arrest_boro,arrest_precinct,law_cat_cd,age_group,perp_sex,perp_race

2021-12-18T00:00:00.000,RAPE 1,RAPE,Q,105,F,18-24,M,BLACK

2021-11-25T00:00:00.000,"ARSON 2,3,4",ARSON,K,69,F,25-44,M,BLACK

2021-10-14T00:00:00.000,OBSCENITY 1,SEX CRIMES,K,61,F,25-44,M,WHITE

2021-10-11T00:00:00.000,"ARSON 2,3,4",ARSON,B,42,F,18-24,M,BLACK

2021-09-27T00:00:00.000,RAPE 1,RAPE,K,84,F,25-44,M,BLACK

2021-09-18T00:00:00.000,RAPE 1,RAPE,B,41,F,25-44,M,WHITE HISPANIC

2021-09-17T00:00:00.000,RAPE 1,RAPE,Q,105,F,25-44,M,BLACK

2021-08-05T00:00:00.000,RAPE 1,RAPE,M,25,F,25-44,M,WHITE HISPANIC

2021-07-20T00:00:00.000,RAPE 2,RAPE,Q,112,F,45-64,M,WHITE HISPANIC

2021-07-16T00:00:00.000,RAPE 3,RAPE,K,77,F,18-24,M,BLACK

2021-07-14T00:00:00.000,SODOMY 1,SEX CRIMES,Q,105,F,45-64,M,BLACK

2021-07-13T00:00:00.000,SEXUAL ABUSE,SEX CRIMES,K,84,F,45-64,M,BLACK

2021-05-28T00:00:00.000,SODOMY 1,SEX CRIMES,K,75,F,45-64,M,BLACK

2021-04-27T00:00:00.000,RAPE 2,RAPE,M,5,F,18-24,M,BLACK

2021-03-25T00:00:00.000,RAPE 3,RAPE,Q,112,F,45-64,M,WHITE HISPANIC

2021-03-14T00:00:00.000,SODOMY 1,SEX CRIMES,M,19,F,25-44,M,BLACK

2021-02-19T00:00:00.000,RAPE 3,RAPE,Q,105,F,25-44,M,BLACK

2021-01-09T00:00:00.000,RAPE 1,RAPE,B,49,F,25-44,M,BLACK

2021-11-27T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,K,66,M,45-64,M,ASIAN / PACIFIC ISLANDER

2021-12-24T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,M,18,M,25-44,M,BLACK

2021-12-09T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,M,9,F,45-64,F,ASIAN / PACIFIC ISLANDER

2021-12-30T00:00:00.000,"WEAPONS, POSSESSION, ETC",DANGEROUS WEAPONS,M,13,M,25-44,M,BLACK

2021-11-27T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,M,7,M,18-24,M,WHITE

2021-11-11T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,M,30,M,25-44,M,WHITE HISPANIC

2021-11-20T00:00:00.000,WEAPONS POSSESSION 3,DANGEROUS WEAPONS,B,49,F,25-44,M,WHITE HISPANIC

2021-11-13T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,M,28,F,25-44,M,BLACK

2021-11-17T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,Q,113,F,25-44,M,BLACK

2021-11-20T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,B,50,M,25-44,M,WHITE HISPANIC

2021-12-29T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,Q,108,M,25-44,M,WHITE HISPANIC

2021-12-31T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,Q,108,F,25-44,M,AMERICAN INDIAN/ALASKAN NATIVE

2021-12-04T00:00:00.000,"LARCENY,GRAND OF AUTO",GRAND LARCENY OF MOTOR VEHICLE,M,20,F,25-44,M,BLACK

2021-11-21T00:00:00.000,WEAPONS POSSESSION 1 & 2,DANGEROUS WEAPONS,B,43,F,18-24,M,BLACK

2021-11-22T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,K,76,M,25-44,M,BLACK

2021-12-16T00:00:00.000,"CONTROLLED SUBSTANCE,INTENT TO",DANGEROUS DRUGS,S,120,F,25-44,M,BLACK

2021-12-15T00:00:00.000,"CONTROLLED SUBSTANCE,POSSESS.",DANGEROUS DRUGS,M,30,F,25-44,M,BLACK

2021-12-12T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,S,120,M,25-44,M,BLACK

2021-12-15T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED FEL",NYS LAWS-UNCLASSIFIED FELONY,M,5,F,25-44,M,WHITE HISPANIC

2021-11-14T00:00:00.000,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",GRAND LARCENY,Q,113,F,25-44,M,BLACK

2021-11-12T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,K,68,M,25-44,F,BLACK HISPANIC

2021-11-24T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,S,121,M,18-24,F,BLACK

2021-12-06T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,M,18,M,18-24,M,BLACK

2021-12-02T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEF,B,52,M,25-44,M,BLACK

2021-11-30T00:00:00.000,"CONTROLLED SUBSTANCE,INTENT TO",DANGEROUS DRUGS,M,14,F,45-64,M,BLACK

2021-11-09T00:00:00.000,STRANGULATION 1ST,FELONY ASSAULT,B,40,F,45-64,M,BLACK

2021-11-17T00:00:00.000,"PROSTITUTION 3, PROMOTING UNDE",PROSTITUTION & RELATED OFFENSES,Q,115,F,45-64,M,WHITE HISPANIC

2021-12-24T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,K,77,M,45-64,M,BLACK

2021-12-10T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,M,23,F,18-24,M,BLACK

2021-12-22T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,M,5,M,25-44,M,BLACK

2021-11-28T00:00:00.000,RESISTING ARREST,OFFENSES AGAINST PUBLIC ADMINI,Q,105,M,25-44,M,BLACK

2021-12-09T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,B,42,F,25-44,M,BLACK

2021-12-16T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,M,14,M,25-44,M,BLACK

2021-11-12T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,B,49,M,65+,M,BLACK

2021-12-28T00:00:00.000,RESISTING ARREST,OFFENSES AGAINST PUBLIC ADMINI,M,32,M,18-24,M,BLACK

2021-11-09T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,B,52,M,25-44,F,WHITE

2021-12-16T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,B,43,F,25-44,F,BLACK

2021-12-15T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,B,49,M,25-44,M,ASIAN / PACIFIC ISLANDER

2021-12-28T00:00:00.000,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CRIMINAL MISCHIEF & RELATED OF,K,76,M,25-44,M,WHITE

2021-12-06T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEF,M,14,M,25-44,M,WHITE

2021-12-22T00:00:00.000,"TRAFFIC,UNCLASSIFIED INFRACTIO",OTHER TRAFFIC INFRACTION,K,68,M,25-44,M,WHITE HISPANIC

2021-12-12T00:00:00.000,"WEAPONS, POSSESSION, ETC",DANGEROUS WEAPONS,Q,110,M,18-24,M,WHITE HISPANIC

2021-11-19T00:00:00.000,"FORGERY,ETC.,UNCLASSIFIED-FELO",FORGERY,Q,113,F,25-44,M,BLACK

2021-11-24T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,M,14,M,25-44,M,WHITE HISPANIC

2021-11-14T00:00:00.000,STRANGULATION 1ST,FELONY ASSAULT,B,47,F,<18,M,WHITE HISPANIC

2021-12-06T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,B,47,M,45-64,M,WHITE HISPANIC

2021-12-08T00:00:00.000,WEAPONS POSSESSION 3,DANGEROUS WEAPONS,K,79,F,45-64,M,BLACK

2021-12-23T00:00:00.000,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",GRAND LARCENY,M,14,F,18-24,M,BLACK

2021-11-09T00:00:00.000,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",GRAND LARCENY,M,17,F,25-44,F,ASIAN / PACIFIC ISLANDER

2021-11-30T00:00:00.000,"MISCHIEF,CRIMINAL,    UNCL 2ND",CRIMINAL MISCHIEF & RELATED OF,M,19,M,25-44,M,WHITE

2021-11-22T00:00:00.000,"MISCHIEF,CRIMINAL,    UNCL 2ND",CRIMINAL MISCHIEF & RELATED OF,Q,103,F,45-64,M,BLACK

2021-12-15T00:00:00.000,"MISCHIEF,CRIMINAL,    UNCL 2ND",CRIMINAL MISCHIEF & RELATED OF,M,14,F,25-44,M,WHITE HISPANIC

2021-11-29T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,K,62,M,45-64,F,ASIAN / PACIFIC ISLANDER

2021-12-20T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,K,70,M,25-44,F,BLACK

2021-12-04T00:00:00.000,"INTOXICATED DRIVING,ALCOHOL",INTOXICATED & IMPAIRED DRIVING,K,76,M,45-64,F,WHITE

2021-12-19T00:00:00.000,OBSTR BREATH/CIRCUL,ASSAULT 3 & RELATED OFFENSES,Q,104,M,45-64,M,WHITE HISPANIC

2021-11-22T00:00:00.000,"CRIMINAL MISCHIEF 4TH, GRAFFIT",CRIMINAL MISCHIEF & RELATED OF,M,6,M,18-24,F,WHITE

2021-11-12T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,Q,104,M,25-44,M,BLACK

2021-12-27T00:00:00.000,"MURDER,UNCLASSIFIED",MURDER & NON-NEGL. MANSLAUGHTE,K,84,F,25-44,M,BLACK

2021-12-09T00:00:00.000,"LARCENY,GRAND OF AUTO",GRAND LARCENY OF MOTOR VEHICLE,B,48,F,<18,F,BLACK

2021-11-21T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,K,75,F,25-44,F,BLACK

2021-12-27T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,B,47,F,45-64,F,BLACK

2021-11-13T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,K,62,M,45-64,M,WHITE HISPANIC

2021-11-16T00:00:00.000,"CONTROLLED SUBSTANCE,INTENT TO",DANGEROUS DRUGS,S,121,F,25-44,M,BLACK

2021-12-19T00:00:00.000,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CRIMINAL MISCHIEF & RELATED OF,K,81,M,25-44,M,BLACK

2021-12-23T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,M,32,M,45-64,M,BLACK

2021-11-10T00:00:00.000,"CONTEMPT,CRIMINAL",OFFENSES AGAINST PUBLIC ADMINI,B,43,M,45-64,M,WHITE HISPANIC

2021-11-12T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,M,17,F,25-44,F,BLACK

